,UNIQUEID,DRUG,SOURCE,METHOD_3,PHENOTYPE,METHOD_MIC
0,site.01.subj.DR0134.lab.DR0134.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
1,site.01.subj.DR0611.lab.DR0611.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
2,site.01.subj.DR0602.lab.DR0602.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
3,site.01.subj.DR0600.lab.DR0600.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
4,site.01.subj.DR0630.lab.DR0630.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
5,site.01.subj.DR0613.lab.DR0613.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
6,site.01.subj.DR0665.lab.DR0665.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
7,site.01.subj.DR0617.lab.DR0617.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
8,site.01.subj.DR0678.lab.DR0678.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
9,site.01.subj.DR0608.lab.DR0608.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
10,site.01.subj.DR0031.lab.DR0031.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
11,site.01.subj.DR0685.lab.DR0685.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
12,site.01.subj.DR0650.lab.DR0650.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
13,site.01.subj.DR0621.lab.DR0621.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
14,site.01.subj.DR0036.lab.DR0036.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
15,site.01.subj.DR0627.lab.DR0627.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
16,site.01.subj.DR0673.lab.DR0673.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
17,site.01.subj.DR0669.lab.DR0669.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
18,site.01.subj.DR0701.lab.DR0701.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
19,site.01.subj.DR0631.lab.DR0631.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
20,site.01.subj.DR0632.lab.DR0632.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
21,site.01.subj.DR0591.lab.DR0591.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
22,site.01.subj.DR0688.lab.DR0688.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
23,site.01.subj.DR0719.lab.DR0719.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
24,site.01.subj.DR0053.lab.DR0053.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
25,site.01.subj.DR0628.lab.DR0628.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
26,site.01.subj.DR0629.lab.DR0629.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
27,site.01.subj.DR0597.lab.DR0597.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
28,site.01.subj.DR0589.lab.DR0589.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
29,site.01.subj.DR0044.lab.DR0044.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
30,site.01.subj.DR0619.lab.DR0619.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
31,site.01.subj.DR0586.lab.DR0586.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
32,site.01.subj.DR0605.lab.DR0605.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
33,site.01.subj.DR0598.lab.DR0598.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.25
34,site.01.subj.DR0051.lab.DR0051.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
35,site.01.subj.DR0681.lab.DR0681.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
36,site.01.subj.DR0612.lab.DR0612.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
37,site.01.subj.DR0604.lab.DR0604.iso.1,BDQ,CRyPTIC,UKMYC6,S,<=0.008
38,site.01.subj.DR0060.lab.DR0060.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
39,site.01.subj.DR0067.lab.DR0067.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
40,site.01.subj.DR0588.lab.DR0588.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
41,site.01.subj.DR0160.lab.DR0160.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
42,site.01.subj.DR0610.lab.DR0610.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
43,site.01.subj.DR0155.lab.DR0155.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.015
44,site.01.subj.DR0672.lab.DR0672.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
45,site.01.subj.DR0636.lab.DR0636.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.06
46,site.01.subj.DR0725.lab.DR0725.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
47,site.01.subj.DR0030.lab.DR0030.iso.1,BDQ,CRyPTIC,UKMYC6,S,0.03
